date,location,latitude,longitude,T2M,source,RH2M,PS,ALLSKY_SFC_SW_DWN,PRECTOTCORR,temp_mean_7d,temp_std_7d,temp_spike,humidity_drop_7d,humidity_var_7d,pressure_anom_7d,fire_risk_index
2020-01-01,california_fire,38.5,-120.5,7.47,NASA_POWER,74.78,91.71,79.94,0.04,7.47,,,74.78,,,1.8839339999999998
2020-01-02,california_fire,38.5,-120.5,6.83,NASA_POWER,72.32,91.68,102.02,0.0,7.15,0.45254833995939053,0.6399999999999997,72.32,1.7394826817189124,0.021213203435582157,1.8905440000000004
2020-01-03,california_fire,38.5,-120.5,8.19,NASA_POWER,68.71,92.08,100.84,0.0,7.496666666666666,0.6803920438492301,1.3599999999999994,68.71,3.053102247441668,0.2227853974867636,2.5626510000000002
2020-01-04,california_fire,38.5,-120.5,6.61,NASA_POWER,86.46,92.49,112.55,0.44,7.2749999999999995,0.710750776761212,1.5799999999999992,68.71,7.67763581232313,0.3797367509209532,0.8949940000000005
2020-01-05,california_fire,38.5,-120.5,5.12,NASA_POWER,81.27,92.78,118.04,0.03,6.843999999999999,1.143538368398717,1.4900000000000002,68.71,7.121325017157972,0.4826696592909104,0.9589760000000003
2020-01-06,california_fire,38.5,-120.5,5.61,NASA_POWER,66.66,92.63,119.68,0.0,6.638333333333333,1.140147651256918,0.4900000000000002,66.66,7.576124778979466,0.47444353369676123,1.8703740000000002
2020-01-07,california_fire,38.5,-120.5,5.13,NASA_POWER,75.77,91.93,106.97,0.19,6.422857142857143,1.1867141510028758,0.4800000000000004,66.66,6.92162656358419,0.44754355999750417,1.2429990000000002
2020-01-08,california_fire,38.5,-120.5,3.9,NASA_POWER,92.37,91.59,71.13,0.37,5.912857142857143,1.4081514393666887,1.23,66.66,9.487236036857503,0.4705113732748147,0.2975699999999998
2020-01-09,california_fire,38.5,-120.5,1.81,NASA_POWER,89.64,91.45,62.87,6.67,5.195714285714287,2.012029300174803,2.09,66.66,10.103571739972056,0.516134903000406,0.187516
2020-01-10,california_fire,38.5,-120.5,3.18,NASA_POWER,63.21,92.09,117.71,0.09,4.4799999999999995,1.6228164817173067,1.37,63.21,11.284165897398001,0.5159688067352617,1.169922
2020-01-11,california_fire,38.5,-120.5,3.24,NASA_POWER,87.91,91.93,75.77,1.18,3.9985714285714287,1.365008285340285,0.06000000000000005,63.21,11.448759342225275,0.4951334596420863,0.3917160000000001
2020-01-12,california_fire,38.5,-120.5,2.44,NASA_POWER,82.91,91.76,75.72,0.49,3.615714285714286,1.3738614333677341,0.8000000000000003,63.21,11.506526305494967,0.38472624775842945,0.4169960000000001
2020-01-13,california_fire,38.5,-120.5,3.34,NASA_POWER,91.61,91.75,107.05,2.64,3.2914285714285714,1.0557529472913127,0.8999999999999999,63.21,10.592569498069324,0.21877363817859233,0.28022600000000003
2020-01-14,california_fire,38.5,-120.5,2.69,NASA_POWER,88.72,91.8,71.07,4.61,2.9428571428571426,0.6853883153783348,0.6499999999999999,63.21,10.171440175220777,0.2098185156839159,0.30343200000000004
2020-01-15,california_fire,38.5,-120.5,1.86,NASA_POWER,73.44,91.39,86.34,0.01,2.6514285714285712,0.6429730054320286,0.8299999999999998,63.21,10.458517148830465,0.24808792604157648,0.49401600000000007
2020-01-16,california_fire,38.5,-120.5,2.11,NASA_POWER,89.54,90.91,32.72,15.31,2.6942857142857144,0.5849175766110821,0.24999999999999978,63.21,10.447187363569384,0.393887825462545,0.22070599999999985
2020-01-17,california_fire,38.5,-120.5,1.75,NASA_POWER,83.65,92.06,91.31,0.72,2.4899999999999998,0.6346127428072524,0.3599999999999999,73.44,6.128218105033248,0.3885749299562046,0.2861249999999999
2020-01-18,california_fire,38.5,-120.5,4.45,NASA_POWER,64.72,92.25,107.34,0.0,2.662857142857143,0.9562376672096147,2.7,64.72,9.744528134877983,0.44127520837205697,1.56996
2020-01-19,california_fire,38.5,-120.5,6.67,NASA_POWER,74.63,91.86,71.44,0.03,3.2671428571428573,1.7765951919867629,2.2199999999999998,64.72,10.12279182269962,0.44503611410439026,1.692179
2020-01-20,california_fire,38.5,-120.5,6.83,NASA_POWER,80.03,91.58,71.93,0.01,3.765714285714286,2.2318292732110825,0.16000000000000014,64.72,8.96060584686421,0.4475754791359801,1.363951
2020-01-21,california_fire,38.5,-120.5,5.97,NASA_POWER,88.61,91.75,60.84,2.73,4.234285714285714,2.3112468290431263,0.8600000000000003,64.72,8.941300107872879,0.4459767237146247,0.679983
2020-01-22,california_fire,38.5,-120.5,7.22,NASA_POWER,89.09,92.06,105.03,0.76,5.0,2.281235045613084,1.25,64.72,9.20455451445228,0.4438253624804977,0.7877019999999998
2020-01-23,california_fire,38.5,-120.5,7.53,NASA_POWER,80.52,92.01,74.6,0.47,5.774285714285715,2.0443569253178935,0.3100000000000005,64.72,8.489661219333053,0.22430846108489738,1.4668440000000005
2020-01-24,california_fire,38.5,-120.5,8.52,NASA_POWER,80.41,91.85,122.09,0.17,6.741428571428571,1.2827630148943883,0.9899999999999993,64.72,8.356127207310921,0.21934968820191034,1.6690680000000002
2020-01-25,california_fire,38.5,-120.5,9.91,NASA_POWER,74.74,91.79,122.99,1.35,7.521428571428571,1.3167691340477787,1.3900000000000006,74.63,5.837986851320453,0.16121562018137892,2.5032660000000004
2020-01-26,california_fire,38.5,-120.5,7.86,NASA_POWER,94.84,91.99,70.43,14.96,7.691428571428571,1.2642972827019772,2.05,74.74,6.966163116912267,0.170726737939927,0.4055759999999997
