date,location,latitude,longitude,T2M,source,RH2M,PS,ALLSKY_SFC_SW_DWN,PRECTOTCORR,temp_mean_7d,temp_std_7d,temp_max_7d,temp_slope_7d,humidity_mean_7d,humidity_min_7d,humidity_slope_7d,pressure_std_7d,pressure_anomaly,dry_index,fire_risk_score
2020-01-01,test_location,38.0,-77.0,3.84,NASA_POWER,75.21,100.88,120.5,0.0,,,,,,,,,0.024141138507618544,6866.5821000000005,0.43684916128163176
2020-01-02,test_location,38.0,-77.0,5.26,NASA_POWER,84.3,101.2,93.3,0.47,,,,,,,,,0.03193039855429012,4371.037,0.3966814991424791
2020-01-03,test_location,38.0,-77.0,10.26,NASA_POWER,91.29,100.79,46.97,7.76,,,,,,,,,0.021950409119492476,2468.501099999998,0.34984433704627527
2020-01-04,test_location,38.0,-77.0,11.23,NASA_POWER,94.77,100.26,28.88,11.25,5.978571428571429,3.3254144031054165,11.23,-0.3842857142857144,81.19714285714285,65.08,-0.8471428571428599,0.44685674704646766,0.00904944716719295,1487.307400000001,0.3272176119863528
2020-01-05,test_location,38.0,-77.0,4.19,NASA_POWER,65.08,101.4,83.14,0.55,5.782857142857144,3.5075809056276674,11.23,-1.0657142857142856,81.14571428571428,65.08,-2.382500000000006,0.556438504709914,0.03679868608345981,9684.7128,0.44944995037480107
2020-01-06,test_location,38.0,-77.0,3.86,NASA_POWER,76.47,101.56,114.76,0.29,5.055714285714286,4.10991426164771,11.23,-1.741785714285714,79.65714285714286,65.08,-2.710357142857141,1.0512962520259486,0.04069331610679543,6518.0453,0.4332476893798133
2020-01-07,test_location,38.0,-77.0,3.21,NASA_POWER,81.26,101.32,44.8,9.07,4.567142857142857,3.5537900626688415,11.23,-0.8071428571428574,80.05428571428571,65.08,0.4957142857142824,1.1211452478009576,0.034851371071791655,5178.986399999998,0.3792770884175721
2020-01-08,test_location,38.0,-77.0,2.47,NASA_POWER,74.85,101.99,115.26,0.0,5.075714285714286,4.727211500602503,14.79,1.2399999999999995,79.71571428571428,65.08,3.9207142857142827,0.865288281166352,0.05116013429450993,6931.843000000002,0.44006994775826136
2020-01-09,test_location,38.0,-77.0,0.17,NASA_POWER,73.88,103.58,119.44,0.0,6.758571428571429,6.220344118485806,15.97,2.2807142857142857,81.59,73.88,1.6675000000000053,0.817860158031464,0.08986302015140851,7139.118400000001,0.45233629479329096
2020-01-10,test_location,38.0,-77.0,6.84,NASA_POWER,94.07,103.05,59.96,0.0,7.502857142857143,6.126708508069985,15.97,2.1142857142857143,84.47714285714287,73.88,2.5528571428571416,0.7696195720707069,0.07696205819910899,1660.3407000000016,0.35861248619447406
2020-01-11,test_location,38.0,-77.0,14.79,NASA_POWER,92.4,102.03,58.64,0.56,8.27,5.8285418416616,15.97,1.6164285714285718,86.71285714285715,73.88,3.425357142857144,0.6583529231564034,0.05213379180034401,2188.3439999999982,0.3602483512960253
2020-01-12,test_location,38.0,-77.0,15.97,NASA_POWER,78.2,101.84,102.42,5.1,9.174285714285714,5.240040894060711,15.97,0.8446428571428571,88.78571428571429,73.88,2.014285714285713,0.6739648146814352,0.047508918647632924,6302.815999999999,0.4261987002986624
2020-01-13,test_location,38.0,-77.0,9.07,NASA_POWER,96.68,102.42,38.49,9.83,10.444285714285714,3.4735613671603063,15.97,-0.4539285714285713,87.99,68.31,-2.3089285714285763,0.45443842895853265,0.06162695248222479,936.970399999998,0.3366278839148512
2020-01-14,test_location,38.0,-77.0,8.58,NASA_POWER,96.91,101.99,24.51,5.68,9.471428571428572,5.183870589213653,15.97,-2.084642857142857,83.59857142857143,63.33,-4.082500000000002,0.5923641093915556,0.05116013429450993,870.5457000000008,0.3260598940694999
2020-01-15,test_location,38.0,-77.0,8.8,NASA_POWER,89.36,101.86,105.68,0.09,7.594285714285715,5.314398232295789,15.97,-2.1628571428571433,81.47,63.33,-3.478571428571427,0.5925208455244109,0.04799574740054979,2999.948,0.39251197793144454
2020-01-16,test_location,38.0,-77.0,9.06,NASA_POWER,68.31,101.78,121.23,0.0,5.909999999999999,3.8966652409464215,9.07,-1.3321428571428573,80.78285714285714,63.33,-4.8114285714285705,0.730955017833007,0.04604843238888198,8943.2349,0.46384844999353947
2020-01-17,test_location,38.0,-77.0,0.03,NASA_POWER,63.33,103.45,138.31,0.04,4.244285714285714,4.724866337237694,9.06,-1.7914285714285711,76.74142857142859,63.33,-3.868214285714285,0.7322502824789409,0.08669863325744837,10017.510599999998,0.49362782305085234
2020-01-18,test_location,38.0,-77.0,1.65,NASA_POWER,77.5,102.42,24.12,4.14,2.6571428571428575,4.888857106678805,9.06,-1.8978571428571436,73.67428571428572,63.33,-1.126428571428574,0.7789889662400978,0.06162695248222479,6182.999999999999,0.38415375439809785
2020-01-19,test_location,38.0,-77.0,4.18,NASA_POWER,73.39,101.09,118.95,0.03,1.282857142857143,4.174141485725801,9.06,-1.392857142857143,71.86,63.33,1.4342857142857124,0.7778143982308611,0.02925284041324684,7379.751299999999,0.44258313061669485
2020-01-20,test_location,38.0,-77.0,-2.59,NASA_POWER,68.39,102.44,141.15,0.0,0.1257142857142857,2.407909585393236,4.18,-0.31642857142857145,74.25571428571428,63.33,2.343571428571429,0.7258262943182773,0.06211378123514165,8552.4016,0.47432101654263303
2020-01-21,test_location,38.0,-77.0,-2.53,NASA_POWER,75.44,102.9,143.46,0.0,0.8285714285714285,3.016473816513967,4.95,0.18678571428571422,78.94714285714285,68.39,3.1307142857142907,0.6202265331158872,0.07331084255223198,6646.427200000001,0.4566906296540094
